date,transport_mode,public_transport_ratio,transport_co2,electricity_co2,cooking_co2,food_co2,waste_co2,digital_co2,avoided_co2,total_co2,estimated
2026-01-25,Car+bus (90% public),0.9,3.16,1.64,0.19,5.0,0.0,0.06,0.18,9.86,0
2026-01-26,Bike+bus (25% public),0.25,2.9,1.64,2.82,2.0,0.0,0.06,0.07,9.34,0
2026-01-27,Bike+train (30% public),0.3,0.33,0.66,0.03,2.0,0.0,0.0,1.41,1.61,0
2026-01-28,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46999979019165,1
2026-01-29,Bike+flight (70% public),0.7,2.46,0.82,0.06,2.0,0.0,0.62,0.48,5.48,0
2026-01-30,Mixed,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1
2026-01-31,Bike+flight (50% public),0.5,3.9,1.64,0.03,2.0,0.0,0.0,1.79,5.78,0
2026-02-01,Mixed,0.53,3.96,1.99,0.97,4.04,0.0,0.23,1.22,12.420000076293944,1
2026-02-02,Bike+flight (90% public),0.9,76.02,5.74,1.54,2.0,0.0,0.56,0.32,85.54,0
2026-02-03,Mixed,0.59,12.94,1.77,0.68,2.19,0.0,0.19,0.62,18.38999938964844,1
2026-02-04,Car+flight (90% public),0.9,358.21,3.28,3.13,5.0,0.0,0.06,1.71,367.97,0
2026-02-05,Mixed,0.64,16.41,0.57,0.29,0.73,0.0,0.05,0.22,18.270000457763672,1
2026-02-06,Car+train (50% public),0.5,28.35,1.64,2.79,5.0,0.0,0.12,1.39,36.52,0
2026-02-07,Mixed,0.58,16.21,0.53,0.36,0.69,0.0,0.05,0.25,18.07999992370605,1
2026-02-08,Bike+bus (80% public),0.8,1.61,2.87,1.26,2.0,0.0,0.68,1.47,6.95,0
2026-02-09,Bike+ (0% public),0.0,4.62,0.0,0.03,2.0,0.0,0.06,0.2,6.51,0
2026-02-10,Car+ (0% public),0.0,0.02,0.82,0.03,5.0,0.0,0.06,0.27,5.66,0
2026-02-11,Bike+bus (50% public),0.5,3.64,4.1,0.94,2.0,0.0,4.56,0.37,14.87,0
2026-02-12,Mixed,0.51,15.95,0.62,0.33,0.78,0.0,0.21,0.19,18.07999992370605,1
2026-02-13,Car+train (60% public),0.6,23.35,2.46,1.39,2.0,0.0,0.06,0.47,28.79,0
2026-02-14,Mixed,0.47,15.84,0.57,0.36,0.87,0.0,0.21,0.22,18.07999992370605,0
2026-02-15,Bike+train (80% public),0.8,0.33,2.46,0.03,2.0,0.0,0.0,1.47,5.29,0
2026-02-16,Mixed,0.45,9.63,2.59,0.79,3.09,0.0,1.1,0.87,18.059999465942383,0
2026-02-17,Mixed,0.4,10.29,2.33,0.64,3.04,0.0,1.08,0.69,18.07999992370605,1
2026-02-18,Bike+bus (23% public),0.23,6.05,1.64,2.17,2.0,-0.2,1.56,0.39,12.83,0
2026-02-19,Mixed,0.44,9.91,2.47,0.96,2.86,-0.03,1.27,0.68,18.1200008392334,1

2026-01-24,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,1
2026-01-21,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,1
2026-01-26,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,1
2026-01-23,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,1
2026-01-19,Mixed,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,1
