date,electricity_kwh,diesel_liter,natural_gas_m3,cement_ton,steel_ton,plastic_kg,production_units,operating_hours,capacity_utilization,co2_emission
2024-01-01,15270,229,470,15.98,10.18,178.01,2466,14,43.5,47101.35
2024-01-02,19636,149,330,5.31,14.64,516.22,4853,9,50.9,49491.21
2024-01-03,14420,210,659,14.17,3.08,111.53,2474,18,64.0,32150.38
2024-01-04,10047,269,389,6.36,10.42,291.23,3267,23,68.0,34807.43
2024-01-05,11556,100,220,11.76,3.16,571.1,4061,9,63.1,27820.94
2024-01-06,15513,102,539,8.62,11.2,405.0,2775,22,50.4,42905.21
2024-01-07,11152,213,761,14.94,6.74,360.03,3129,11,51.1,37559.67
2024-01-08,14873,93,361,10.93,14.12,463.64,5342,15,74.2,49506.04
2024-01-09,17467,298,495,17.67,11.97,369.85,2791,17,97.9,54319.76
2024-01-10,14331,173,692,7.11,12.63,137.28,5910,16,86.3,42938.97
2024-01-11,10027,185,671,5.21,5.39,455.67,2418,8,76.4,25448.64
2024-01-12,11561,280,240,18.72,13.2,324.73,5104,23,62.2,52007.42
2024-01-13,19837,265,298,13.87,6.3,380.62,5810,12,98.3,42212.76
2024-01-14,18882,50,204,13.42,12.25,346.9,2392,22,65.7,50983.72
2024-01-15,15721,173,660,8.03,13.75,337.69,3020,23,81.7,47360.77
2024-01-16,15574,280,370,8.05,14.31,399.43,5314,13,92.8,48126.03
2024-01-17,18921,94,773,14.5,13.46,501.84,5627,11,93.6,55730.15
2024-01-18,13450,177,705,6.83,7.28,553.41,3408,16,78.9,33405.13
2024-01-19,14776,165,458,5.1,9.13,308.71,5748,8,47.2,35165.43
2024-01-20,8663,256,573,8.28,9.7,301.92,3853,8,55.2,34446.84
2024-01-21,9291,88,585,15.68,4.78,598.87,2698,8,98.6,33144.91
2024-01-22,8854,278,424,14.52,11.17,365.47,4777,23,73.2,42788.71
2024-01-23,12931,232,402,10.54,5.91,501.57,5908,11,99.0,33278.05
2024-01-24,15125,188,710,6.35,13.02,260.39,5397,23,42.4,43998.2
2024-01-25,8659,236,602,15.67,12.71,274.33,3734,11,96.4,46460.91
2024-01-26,9959,177,750,19.05,4.65,270.53,4520,9,95.5,36192.89
2024-01-27,12061,91,462,14.9,12.81,377.6,5643,8,54.5,48383.82
2024-01-28,13423,189,652,18.51,10.6,269.51,5170,10,83.6,49086.67
2024-01-29,9154,197,351,11.07,13.65,525.46,3648,15,87.1,44478.6
2024-01-30,12199,133,453,5.14,4.22,431.75,3884,9,49.6,24466.43
2024-01-31,12433,243,362,14.78,5.69,456.09,4848,21,59.5,36130.11
2024-02-01,11987,297,591,17.74,10.89,384.15,2459,18,62.1,48167.65
2024-02-02,11446,71,237,19.68,8.84,553.05,4074,9,61.0,45011.34
2024-02-03,15022,241,680,7.93,11.67,240.39,2546,23,78.7,42908.46
2024-02-04,16208,221,419,12.05,6.35,541.75,5963,16,97.2,38234.29
2024-02-05,11420,290,501,19.5,14.56,526.5,2190,20,63.1,56066.49
2024-02-06,14102,210,455,12.28,7.47,297.35,4613,17,95.8,38157.92
2024-02-07,10733,73,487,15.07,7.3,227.08,4537,9,59.4,37169.9
2024-02-08,19367,210,592,15.54,7.31,246.8,4806,17,88.6,45256.37
2024-02-09,18647,62,705,5.08,10.53,197.14,5847,23,63.8,40798.62
2024-02-10,18893,253,670,5.41,9.95,319.24,3982,13,59.7,40924.09
2024-02-11,11769,112,389,9.3,10.09,115.25,3715,17,89.4,37466.83
2024-02-12,10491,150,463,16.55,5.59,411.45,3219,13,43.1,35814.08
2024-02-13,15027,143,246,15.49,4.66,166.37,2369,19,82.9,35867.64
